TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.cbarkinozer.onlinebankingrestapi.app.acc.entity.AccAccountActivity,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,91,91
com.cbarkinozer.onlinebankingrestapi.app.acc.entity.AccMoneyTransfer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,101,101
com.cbarkinozer.onlinebankingrestapi.app.acc.dto.AccMoneyTransferSaveDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9859911575231803,434,429
com.cbarkinozer.onlinebankingrestapi.app.acc.enums.AccErrorMessage,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7121212121212122,27,14
com.cbarkinozer.onlinebankingrestapi.app.acc.service.AccAccountActivityService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.43417252146760343,120,39
com.cbarkinozer.onlinebankingrestapi.app.acc.service.AccAccountService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5777914614121511,88,32
com.cbarkinozer.onlinebankingrestapi.app.acc.service.AccAccountValidationService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7826704545454546,184,143
com.cbarkinozer.onlinebankingrestapi.app.acc.service.AccMoneyTransferService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5144230769230769,48,12
com.cbarkinozer.onlinebankingrestapi.app.crd.dto.CrdCreditCardActivityAnalysisDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9871900656540737,440,435
com.cbarkinozer.onlinebankingrestapi.app.crd.dto.CrdCreditCardActivityDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9872438268570632,462,457
com.cbarkinozer.onlinebankingrestapi.app.crd.dto.CrdCreditCardDetailsDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.982225737547565,524,516
com.cbarkinozer.onlinebankingrestapi.app.crd.dto.CrdCreditCardDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9933124322863156,648,643
com.cbarkinozer.onlinebankingrestapi.app.crd.dto.CrdCreditCardPaymentDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9762404214559387,203,198
com.cbarkinozer.onlinebankingrestapi.app.crd.dto.CrdCreditCardSaveDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9762404214559387,203,198
com.cbarkinozer.onlinebankingrestapi.app.crd.entity.CrdCreditCard,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,189,189
com.cbarkinozer.onlinebankingrestapi.app.crd.entity.CrdCreditCardActivity,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,87,87
com.cbarkinozer.onlinebankingrestapi.app.crd.dto.CrdCreditCardSpendDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9859911575231803,434,429
com.cbarkinozer.onlinebankingrestapi.app.crd.enums.CrdErrorMessage,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7121212121212122,27,14
com.cbarkinozer.onlinebankingrestapi.app.crd.service.CrdCreditCardActivityService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6416666666666666,43,19
com.cbarkinozer.onlinebankingrestapi.app.crd.service.CrdCreditCardActivityValidationService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,31,25
com.cbarkinozer.onlinebankingrestapi.app.crd.service.CrdCreditCardValidationService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.94,181,169
com.cbarkinozer.onlinebankingrestapi.app.crd.service.CrdCreditCardService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.412887199552356,335,87
com.cbarkinozer.onlinebankingrestapi.app.cus.entity.CusCustomer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,72,72
com.cbarkinozer.onlinebankingrestapi.app.cus.dto.CusCustomerDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.982437641723356,383,378
com.cbarkinozer.onlinebankingrestapi.app.cus.dto.CusCustomerSaveDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9818348961206104,379,374
com.cbarkinozer.onlinebankingrestapi.app.cus.dto.CusCustomerUpdateDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9848337501157729,431,426
com.cbarkinozer.onlinebankingrestapi.app.gen.entity.BaseAdditionalFields,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,57,57
com.cbarkinozer.onlinebankingrestapi.app.cus.enums.CusErrorMessage,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7121212121212122,27,14
com.cbarkinozer.onlinebankingrestapi.app.gen.entity.BaseEntity,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,15,15
com.cbarkinozer.onlinebankingrestapi.app.cus.service.CusCustomerValidationService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.589577497665733,90,51
com.cbarkinozer.onlinebankingrestapi.app.gen.exceptions.GenBusinessException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,12,12
com.cbarkinozer.onlinebankingrestapi.app.gen.dto.RestResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9587587535014006,392,381
com.cbarkinozer.onlinebankingrestapi.app.gen.exceptions.IllegalFieldException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
com.cbarkinozer.onlinebankingrestapi.app.gen.exceptions.ItemNotFoundException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
